Group,MemberID,Session,Condition,Type,Total_Frames,Mean_Level
Ga,P33,1,NoAI,视线,168,2.9642857142857100
Ga,P33,2,AI,姿态,187,2.3155080213903700
Ga,P33,2,AI,视线,187,2.962566844919790
Gb,P34,1,AI,姿态,180,2.1
Gb,P34,1,AI,视线,180,2.988888888888890
Gb,P34,2,NoAI,姿态,183,2.2240437158469900
Gb,P34,2,NoAI,视线,183,3.0
Gb,P35,1,AI,姿态,180,1.9666666666666700
Gb,P35,1,AI,视线,180,2.988888888888890
Gb,P35,2,NoAI,姿态,183,2.0382513661202200
Gb,P35,2,NoAI,视线,183,2.989071038251370
Gb,P36,1,AI,姿态,180,1.8166666666666700
Gb,P36,1,AI,视线,180,2.9722222222222200
Gb,P36,2,NoAI,姿态,183,1.9234972677595600
Gb,P36,2,NoAI,视线,183,2.8579234972677600
