Metric,Condition,Mean,SE,N
Speaking_Duration,Baseline,30.179777777777772,3.751350728529653,12
Speaking_Duration,EngageCue,28.98422222222222,3.394817691790507,12
Speaking_Frequency,Baseline,1.597222222222222,0.18213373991209283,12
Speaking_Frequency,EngageCue,1.5444444444444445,0.13341748186385147,12
Editing_Activity,Baseline,215.99074074074073,48.191098911298845,12
Editing_Activity,EngageCue,223.62222222222218,47.04298362421185,12
Browsing_Activity,Baseline,19.739814814814817,3.2129989494292626,12
Browsing_Activity,EngageCue,23.987962962962964,3.999395169932258,12
Posture_Score,Baseline,1.9496666666666664,0.04682120875442655,12
Posture_Score,EngageCue,2.016888888888889,0.032559588814871275,12
Gaze_Score,Baseline,2.9293333333333336,0.03545533539653527,12
Gaze_Score,EngageCue,2.978222222222222,0.007019133702594995,12
