Type,Mean_Diff,SD_Diff,Min_Diff,Max_Diff,Median,IQR,N,Shapiro_W,Shapiro_p
Posture,0.07,0.18,-0.21,0.64,0.02,0.19,36,0.889,0.0017
Gaze,0.05,0.15,-0.1,0.83,0.0,0.04,36,0.521,0.0
