Type,Engagement_count,Engagement_mean,Engagement_std,Engagement_min,Engagement_max,Net_Chars_mean,Net_Chars_std,Net_Chars_min,Net_Chars_max,Total_Edit_Count_mean,Total_Edit_Count_std,Active_Time_Windows_mean,Active_Time_Windows_std
AI,36,223.622,248.14,0.0,1072.6,6708.667,7444.208,0.0,32178.0,28.111,20.331,28.083,20.35
NoAI,36,215.991,235.145,0.0,1052.2,6479.722,7054.355,0.0,31566.0,29.806,22.312,27.667,19.719
