,t_statistic,p_value,cohens_d,mean_difference,ci_lower,ci_upper,significant
speak_total_s,-0.8981871545649275,0.3883229993555355,-0.25928429773536243,-35.8666666666667,-123.75703636719295,52.02370303385955,False
speak_count,-0.5994447405085438,0.5610201292268762,-0.1730447911484565,-1.5833333333333333,-7.3968686513259465,4.23020198465928,False
gini_speak,-2.2707858013625466,0.04424646404530741,-0.6555193968443231,-0.07133333333333333,-0.14047398411233225,-0.002192682554334427,True
